Date,balance_yes,balance_no
2009-12-31,0.0,14533.0
2009-12-30,461.0,3072.6666666666665
2009-12-29,910.8571428571429,1724.0
2009-12-28,11958.333333333334,2101.714285714286
2009-12-27,0.0,6100.0
2009-12-24,2223.0,1927.6
2009-12-23,5.0,5690.5
2009-12-22,3407.8,3887.5
2009-12-21,2855.0,658.5
2009-12-18,1772.25,1237.6
2009-12-17,1374.6666666666667,1222.0
2009-12-16,1967.5,445.0
2009-12-15,1563.25,222.5
2009-12-14,1625.5,2828.5714285714284
2009-12-13,0.0,232.0
2009-12-12,0.0,0.0
2009-12-11,1771.0,904.0
2009-12-10,1995.375,1035.6666666666667
2009-12-09,1555.3636363636363,2545.4444444444443
2009-12-08,0.0,616.0
2009-12-07,1950.142857142857,1093.1052631578948
2009-12-05,0.0,101.0
2009-12-04,3412.0,1578.1
2009-12-03,1770.125,345.0
2009-12-02,324.0,18881.0
2009-11-30,2045.0,4706.0
2009-11-27,1492.5,817.2
2009-11-25,3747.076923076923,1433.909090909091
2009-11-24,215.0,1020.7142857142857
2009-11-22,0.0,1899.0
2009-11-21,3369.936507936508,2989.6049868766404
2009-11-20,3631.294117647059,3346.177142857143
2009-11-19,1649.9166666666667,2539.9620060790276
2009-11-18,2780.125,1903.956204379562
2009-11-17,1818.0833333333333,1769.3061224489795
2009-11-16,1405.1153846153845,1376.6206896551723
2009-11-15,133.0,3537.3333333333335
2009-11-14,1806.0,943.0
2009-11-13,1933.5652173913043,1285.0625
2009-11-12,1822.92,1704.5333333333333
2009-11-11,1990.3529411764705,1934.1666666666667
2009-11-10,2576.5789473684213,2562.0
2009-11-09,2505.1176470588234,2886.7894736842104
2009-11-08,1692.6666666666667,791.1666666666666
2009-11-06,2717.1666666666665,2390.8333333333335
2009-11-05,1054.0,2377.4444444444443
2009-11-04,4479.333333333333,1543.5882352941176
2009-11-03,939.4375,2065.1666666666665
2009-11-02,4543.2,2004.2307692307693
2009-10-31,2338.0,185.0
2009-10-30,2569.3333333333335,2538.076923076923
2009-10-29,1202.1538461538462,2047.3846153846155
2009-10-28,2572.090909090909,3248.3125
2009-10-27,1685.6666666666667,1691.9583333333333
2009-10-26,1124.3333333333333,1675.7222222222222
2009-10-25,1984.0,3562.5
2009-10-23,4849.55,418.6
2009-10-22,1787.0,1019.1666666666666
2009-10-21,2511.222222222222,5155.117647058823
2009-10-20,1649.0666666666666,3552.5789473684213
2009-10-19,3598.4,1753.107142857143
2009-10-18,911.0,2936.75
2009-10-17,429.4,612.3333333333334
2009-10-16,1830.0,2047.0
2009-10-15,1419.7777777777778,1750.851851851852
2009-10-14,552.5,3536.0
2009-10-13,1198.2,1570.8695652173913
2009-10-12,3090.8,1906.3684210526317
2009-10-11,2323.714285714286,1112.875
2009-10-10,0.0,146.5
2009-10-09,1747.0,1403.0
2009-10-08,1641.1666666666667,1547.047619047619
2009-10-07,2030.25,2401.9444444444443
2009-10-06,1519.7142857142858,5869.4375
2009-10-05,0.0,765.6666666666666
2009-10-04,0.0,467.5
2009-10-02,4879.5,5157.5
2009-10-01,1505.1666666666667,3802.777777777778
2009-09-30,1054.0,1802.4285714285713
2009-09-29,1127.8333333333333,362.75
2009-09-28,3393.2,630.0
2009-09-27,447.3333333333333,1541.7142857142858
2009-09-26,0.0,670.0
2009-09-25,119.0,1303.8461538461538
2009-09-24,2063.3333333333335,602.2
2009-09-23,3070.4615384615386,4220.75
2009-09-22,3041.6428571428573,3432.0
2009-09-21,0.0,466.3333333333333
2009-09-20,4343.0,160.0
2009-09-18,815.0,789.0
2009-09-17,1905.0,497.0
2009-09-16,1961.95,1152.0833333333333
2009-09-15,2008.4347826086957,444.22222222222223
2009-09-14,2149.1666666666665,1786.5384615384614
2009-09-13,1030.3333333333333,1584.8333333333333
2009-09-11,1688.9166666666667,2962.25
2009-09-10,1174.5714285714287,2727.4285714285716
2009-09-09,2296.5,958.3333333333334
2009-09-08,1678.2083333333333,956.1176470588235
2009-09-07,1715.6666666666667,1610.5714285714287
2009-09-06,947.3636363636364,2075.823529411765
2009-09-05,0.0,254.5
2009-09-04,2727.0,2471.75
2009-09-03,2543.3636363636365,2204.7916666666665
2009-09-02,2153.8333333333335,1175.5
2009-09-01,2051.5789473684213,3360.09375
2009-08-31,1555.5333333333333,1513.0454545454545
2009-08-30,0.0,4659.0
2009-08-29,2129.5,688.89453125
2009-08-28,2783.9333333333334,864.9209809264305
2009-08-27,1202.5263157894738,750.4410646387832
2009-08-26,2256.705882352941,1066.1954022988505
2009-08-25,1056.7,1409.6043956043957
2009-08-24,1951.6666666666667,3269.0714285714284
2009-08-23,0.0,2481.0
2009-08-22,850.9333333333333,860.2772585669782
2009-08-21,1094.148148148148,838.9193548387096
2009-08-20,1959.52,889.1958041958042
2009-08-19,2769.809523809524,858.3895705521472
2009-08-18,1993.0645161290322,1884.361623616236
2009-08-17,1194.888888888889,1947.28
2009-08-16,1410.5,624.8333333333334
2009-08-14,2275.6216216216217,1995.298245614035
2009-08-13,2334.0535714285716,1734.3232323232323
2009-08-12,1922.0821917808219,1625.470760233918
2009-08-11,1874.5,1651.4748603351954
2009-08-10,4277.615384615385,2339.0714285714284
2009-08-09,1431.0,1718.1818181818182
2009-08-08,1319.142857142857,2036.3973941368079
2009-08-07,2188.731707317073,1528.8076923076924
2009-08-06,1596.2608695652175,1756.969111969112
2009-08-05,1397.5636363636363,1757.0
2009-08-04,1768.8684210526317,1621.5260416666667
2009-08-03,962.3333333333334,356.0
2009-08-02,1021.5,2183.0
2009-08-01,0.0,822.0
2009-07-31,1370.5714285714287,1306.8372093023256
2009-07-30,1096.5555555555557,1096.024128686327
2009-07-29,1902.5833333333333,1313.907514450867
2009-07-28,1692.5151515151515,643.5603448275862
2009-07-27,1385.1666666666667,694.9090909090909
2009-07-26,2788.1428571428573,737.5
2009-07-25,1544.2173913043478,867.8057553956835
2009-07-24,708.6111111111111,741.3310344827586
2009-07-23,1173.8275862068965,952.7252396166134
2009-07-22,977.625,582.8910891089109
2009-07-21,1042.24,712.5873925501432
2009-07-20,1679.2,2013.9
2009-07-19,5438.888888888889,1299.0
2009-07-18,738.3333333333334,741.1637931034483
2009-07-17,504.8095238095238,852.1161048689139
2009-07-16,646.3636363636364,868.7927927927927
2009-07-15,932.3333333333334,874.9617021276596
2009-07-14,1402.409090909091,535.3978494623656
2009-07-13,1602.3333333333333,3011.375
2009-07-12,1357.125,991.4166666666666
2009-07-11,1253.75,421.0812182741117
2009-07-10,771.0,766.7979452054794
2009-07-09,625.92,663.3333333333334
2009-07-08,1187.25,824.0056179775281
2009-07-07,1791.6052631578948,832.3931623931624
2009-07-06,792.25,2341.8
2009-07-05,99.0,594.0
2009-07-04,477.25,549.4022988505748
2009-07-03,714.6666666666666,1121.2906976744187
2009-07-02,2092.0,1266.4489795918366
2009-07-01,2264.9,749.8888888888889
2009-06-30,4033.090909090909,831.469387755102
2009-06-29,1653.5555555555557,1737.0
2009-06-28,937.6363636363636,2850.4285714285716
2009-06-27,-327.0,347.46
2009-06-26,284.6666666666667,1068.860465116279
2009-06-25,1574.0,353.5833333333333
2009-06-24,992.75,2189.0333333333333
2009-06-23,1214.5555555555557,1317.1739130434783
2009-06-22,2931.25,1884.1764705882354
2009-06-20,1760.6,1549.4065180102916
2009-06-19,1782.9444444444443,1566.0071942446043
2009-06-18,1790.391304347826,1845.3370370370371
2009-06-17,1595.35,1577.2179104477611
2009-06-16,1803.8636363636363,1623.1317567567567
2009-06-15,2289.5925925925926,2234.309523809524
2009-06-14,1055.2307692307693,1489.125
2009-06-12,3012.133333333333,1413.180412371134
2009-06-11,1070.0,1961.361111111111
2009-06-10,0.0,2.0
2009-06-09,1985.1153846153845,1972.4672897196263
2009-06-08,1883.9166666666667,1131.8235294117646
2009-06-07,0.0,630.0
2009-06-06,1087.3529411764705,2014.3254593175852
2009-06-05,1184.3818181818183,1507.2826666666667
2009-06-04,1439.25,948.6360424028269
2009-06-03,1692.0816326530612,1855.2598039215686
2009-06-02,1805.5762711864406,1390.8738938053098
2009-06-01,1276.3846153846155,1665.089552238806
2009-05-31,515.0,642.0
2009-05-30,2055.3703703703704,1389.2898550724638
2009-05-29,1838.375,1485.8192488262912
2009-05-28,1660.8636363636363,974.4798464491363
2009-05-27,1548.081081081081,840.7688073394495
2009-05-26,2376.5,930.2523719165085
2009-05-25,1206.9473684210527,1642.873015873016
2009-05-24,2206.3333333333335,1717.3333333333333
2009-05-23,1597.4166666666667,1186.9385342789599
2009-05-22,1803.4347826086957,1932.862745098039
2009-05-21,1361.5416666666667,1603.497641509434
2009-05-20,1713.7777777777778,1417.0186666666666
2009-05-19,1081.4166666666667,1171.4727272727273
2009-05-18,1048.4516129032259,932.0226086956521
2009-05-17,1737.5,1948.4285714285713
2009-05-16,804.8181818181819,754.569105691057
2009-05-15,1132.5833333333333,1241.0978886756238
2009-05-14,2088.347222222222,1292.6858359957403
2009-05-13,1070.4588235294118,983.339149400218
2009-05-12,1602.7796610169491,834.050408719346
2009-05-11,745.1578947368421,816.0111111111111
2009-05-10,273.0,1217.2
2009-05-09,151.0,523.7649880095923
